State:,2009(b),2010(b),2011(b),2012(b),2013(b),2014(b),2015(b),2009(t),2010(t),2011(t),2012(t),2013(t),2014(t),2015(t),2009(lmv),2010(lmv),2011(lmv),2012(lmv),2013(lmv),2014(lmv),2015(lmv),2009(gcv),2010(gcv),2011(gcv),2012(gcv),2013(gcv),2014(gcv),2015(gcv),2009(tw),2010(tw),2011(tw),2012(tw),2013(tw),2014(tw),2015(tw),2009(cars),2010(cars),2011(cars),2012(cars),2013(cars),2014(cars),2015(cars),2009(j),2010(j),2011(j),2012(j),2013(j),2014(j),2015(j),2009(M),2010(M),2011(M),2012(M),2013(M),2014(M),2015(M)
 Andhra Pradesh,53820,56664,60622,70075,73787,35843,38269,9554,103290,114923,129322,125962,69181,73324,381488,434448,513266,576480,546813,351396,397126,428161,455543,498810,555539,554910,291752,313078,5851893,6514593,7488771,9291132,9592270,5431832,6147523,701920,777746,880817,1058184,1077849,403383,454054,29494,29587,29652,30400,25703,10851,10878,516618,551268,602486,713196,690409,233494,255821
 Arunachal Pradesh,682,682,…,…,…,…,…,343,343,…,…,…,,,1449,1449,…,…,…,,,2956,2956,…,…,0,0,0,11112,11112,…,…,…,,,2595,2595,…,…,…,,,2284,2284,…,…,…,,,680,680,…,…,0,0,0
 Assam ,13257,13859,14741,15787,18982,18355,19846,19680,24088,28161,33999,42827,49897,53859,45266,51185,59742,67921,71633,82263,91936,144188,156605,171878,191479,69342,226612,243409,740420,830836,958935,1101265,1230895,1294932,1520260,203000,232546,269605,311917,383729,472273,508135,18131,20742,20861,20968,18621,17750,16128,50809,53860,58205,63784,41493,54925,56164
 Bihar ,19654,21209,22703,24097,25992,27638,29384,30857,38204,43623,52218,66564,78325,85119,-,74968,92390,113088,141174,173329,202385,120588,66485,73472,83191,103211,109010,123744,1364757,1606613,1899017,2230069,2592137,3012463,3489796,103077,188031,136845,160340,184792,208205,235762,56270,66132,75878,84949,94764,104240,113377,264350,137344,329281,364928,408593,450186,498029
Chhatisgarh,41098,7658,8596,12049,13071,48501,52783,6589,7499,8723,13515,15247,18451,20960,13589,15047,17566,17913,21890,28778,33100,107791,116922,127610,141441,155981,171840,186960,1686424,1964769,2232929,2503781,2768727,3113607,3471643,92437,108326,131862,154529,175606,200726,226044,11637,13277,15062,16561,18202,18827,20251,155024,202275,223689,244249,268518,270627,302186
Goa,7644,8332,8907,9513,9956,10925,11224,12768,13143,13306,14338,15427,16549,17616,14863,4238,4309,3853,3955,4084,4186,42755,45258,48824,53842,56245,57711,59242,467827,502042,541934,589377,639594,690326,743037,120425,133717,149869,167544,184631,199647,216414,1065,^,…,^,^,^,^,6562,7149,7521,7939#,8112,8269,8410
 Gujarat,58253,60023,62386,67546,70615,72998,76435,62915,67740,74512,83038,92455,99573,108268,426616,464862,511270,561740,605194,637896,678364,58598,626344,678804,750491,818484,875103,942209,8087416,8716981,9507556,10512304,11500292,12502698,13704879,952400,1057383,1218030,1411898,1602129,1771298,2008748,141565,152985,160800,167991,173373,176750,180556,10547157,726255,779777,858709,909911,955283,1021108
 Haryana ,29516,33520,35646,39153,42800,45893,50207,14791,15081,19978,23793,27946,33982,40444,73134,83745,94770,103995,114465,127652,144334,327416,352532,389546,417632,445020,479951,516633,2768197,2975418,3370426,3755349,4146906,4541932,4988518,618942,720441,855596,989519,1134616,1278272,1420621,111602,115852,113384,121202,130503,141928,148479,4461987,495236,497657,527467,557338,589118,618294
 Himachal Pradesh,5398,5714,6186,14592,13510,13507,14358,20582,21993,23791,25030,33043,34012,34796,2744,2771,2805,3963,5557,5753,5907,86397,92459,99294,96855,128017,136760,143008,249994,283081,331418,384832,433890,484335,545152,80224,95791,116176,171382,187734,215546,245106,18932,20693,22756,12704,14011,15826,17612,30127,15839,19288,623410,60299,68531,71465
 Jammu & Kashmir,24051,23480,25858,25765,26888,27947,29695,18971,15939,21307,25577,31285,34588,37092,19673,10958,12420,13759,16407,17592,19777,66464,78347,82206,89894,96981,105179,112879,363029,407928,446791,480815,530594,588207,644458,145060,172071,198238,230328,265024,301449,338475,11402,11601,118301,24920,25001,25541,26288,19795,18581,21840,25840,28606,32574,35607
Jharkhand,11699,12256,12847,13561,14329,7950,8323,41828,259542,296771,333420,252268,27105,30031,-,160778,180934,202638,227414,55451,63743,182995,316974,353305,393891,412428,105786,117759,1570575,1738566,1947572,1851060,2041835,1246024,1522228,154803,174320,201269,227386,239655,166313,191006,45455,52155,59892,67139,71790,55531,61892,30665,35431,41116,47114,133036,54600,70624
 Karnataka,44308,53874,58012,62501,69718,75529,80911,147489,115410,129272,142700,162894,181227,205174,247077,237295,259429,285408,320482,349144,380790,366597,377495,415491,454582,506340,555255,606352,4796587,6404905,7033045,7737366,8575104,9533892,10644368,892160,1005291,1131201,1269430,1420767,1572521,1741831,39669,40225,41229,42179,43263,44287,45257,418664,705556,751898,798545,843816,894826,948879
 Kerala,430162,383229,390430,396826,404153,409961,414748,75313,84792,96666,108877,121825,139209,150361,448649,491879,544485,601507,666808,703646,731417,358382,320248,360981,400221,443119,476353,499316,2612341,2900238,3294953,3811343,4464849,5096261,5722224,692628,826538,985736,1151566,1331253,1515955,1690690,137547,137547,137547,137547,137547,137547,137547,104896,139167,146742,170315,172659,180037,185467
